classification	confirmation_seed_count	confirmation_seed_flags	confirmation_seeds_with_hit	interpretation	population	region	side_count
partial-one-confirmation-seed	2	"{""20260717"": true, ""20260718"": false}"	1	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	covariance_anisotropy_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	covariance_anisotropy_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	covariance_anisotropy_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	covariance_anisotropy_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	isoperimetric_ratio_low	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	isoperimetric_ratio_low	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	isoperimetric_ratio_low	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	isoperimetric_ratio_low	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	isoperimetric_ratio_low	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	isoperimetric_ratio_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	isoperimetric_ratio_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	isoperimetric_ratio_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	isoperimetric_ratio_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	isoperimetric_ratio_high	3
partial-one-confirmation-seed	2	"{""20260717"": true, ""20260718"": false}"	1	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	isoperimetric_ratio_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	isoperimetric_ratio_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	isoperimetric_ratio_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	isoperimetric_ratio_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	support_roughness_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	support_roughness_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	support_roughness_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	support_roughness_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	support_roughness_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	support_roughness_low	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	support_roughness_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	support_roughness_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	support_roughness_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	support_roughness_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	support_roughness_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	support_roughness_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	support_roughness_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	support_roughness_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	central_symmetry_residual_low	3
partial-one-confirmation-seed	2	"{""20260717"": false, ""20260718"": true}"	1	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	central_symmetry_residual_low	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	central_symmetry_residual_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	central_symmetry_residual_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	central_symmetry_residual_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	central_symmetry_residual_low	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	central_symmetry_residual_low	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	central_symmetry_residual_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	central_symmetry_residual_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	central_symmetry_residual_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	central_symmetry_residual_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	central_symmetry_residual_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	central_symmetry_residual_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	central_symmetry_residual_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	support_novelty_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	support_novelty_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	support_novelty_high	3
partial-one-confirmation-seed	2	"{""20260717"": true, ""20260718"": false}"	1	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	support_novelty_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	support_novelty_high	3
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	support_novelty_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	support_novelty_high	3
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	covariance_anisotropy_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	covariance_anisotropy_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	covariance_anisotropy_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	covariance_anisotropy_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	covariance_anisotropy_low	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	covariance_anisotropy_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	zonogon[lengths=uniform(0.5,1.5)]	covariance_anisotropy_low	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	covariance_anisotropy_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	covariance_anisotropy_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	covariance_anisotropy_high	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	covariance_anisotropy_high	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	covariance_anisotropy_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	covariance_anisotropy_high	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	zonogon[lengths=uniform(0.5,1.5)]	covariance_anisotropy_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	isoperimetric_ratio_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	isoperimetric_ratio_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	isoperimetric_ratio_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	isoperimetric_ratio_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	isoperimetric_ratio_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	isoperimetric_ratio_low	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	isoperimetric_ratio_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	zonogon[lengths=uniform(0.5,1.5)]	isoperimetric_ratio_low	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	isoperimetric_ratio_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	isoperimetric_ratio_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	isoperimetric_ratio_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	isoperimetric_ratio_high	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	isoperimetric_ratio_high	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	isoperimetric_ratio_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	isoperimetric_ratio_high	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	zonogon[lengths=uniform(0.5,1.5)]	isoperimetric_ratio_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	support_roughness_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	support_roughness_low	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	support_roughness_low	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	support_roughness_low	4
partial-one-confirmation-seed	2	"{""20260717"": true, ""20260718"": false}"	1	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	support_roughness_low	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	support_roughness_low	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	support_roughness_low	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	zonogon[lengths=uniform(0.5,1.5)]	support_roughness_low	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	support_roughness_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	support_roughness_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	support_roughness_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	support_roughness_high	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=1]	support_roughness_high	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=4]	support_roughness_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[regular]	support_roughness_high	4
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	zonogon[lengths=uniform(0.5,1.5)]	support_roughness_high	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	current-baseline[delta=0.2]	central_symmetry_residual_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	primal-hull-uniform-disk[points=n+4,origin=interior]	central_symmetry_residual_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	regular-mutation[steps=4,scale=0.03]	central_symmetry_residual_low	4
not-reobserved-both-confirmation-seeds-right-censored	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot-region re-observation label; no-hit is right-censored at 24 accepted rows and is not a zero-probability claim	repulsive-gap[alpha=16]	central_symmetry_residual_low	4
